Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00660426498064391,8.26976427410632E-06,0.0200623332889016,0,0,0,0.116959362726046,3.3463402501291E-05,-2.80059099694232E-07,1.59673474113324E-08,9.73631866262367E-05,2.90091309171363E-09,0.00010929561287651,0,0,0,0,0,0,package://mini_pupper_description/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/base_link.STL,,Plate_Top_1.5mm-1;Plate_Bottom_1.5mm-1;Battery-1;Body_Middle-2;Body_Back-1;Body_Middle-1;RightFront_Leg_Assemble-1/SCS0009-3;RightBack_Assemble-2/SCS0009-3;LCD-1;Body_Front-1;LeftBack_Leg_Assemble-3/SCS0009-2;LeftFront_Leg_Assemble-1/SCS0009-3,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yellow_plate,-0.0265979628467293,0.00100265856976752,-0.0205696864633185,0,0,0,0.0487883090026779,2.63040079082852E-05,-5.56245753822899E-07,-1.84870621911762E-06,5.64225933806734E-05,6.34788357961111E-09,7.28861115131965E-05,0,0,0,0,0,0,package://mini_pupper_description/meshes/yellow_plate.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/yellow_plate.STL,,Shell_Front_TypeD-1;Shell_Left-1;Shell_Right-1;Shell_Display_Cover-1,yellow_plate,base_plate,base_yellowplate,fixed,0.0556975724826061,-0.000166914683579864,0.0700000000000001,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-6.93889390390723E-18,2.26160114015493E-18,-0.0182071701877274,0,0,0,0.0424269997713124,8.26918371378652E-06,-1.02105106862017E-21,-8.80189643038176E-22,8.26918371378652E-06,3.14750181540702E-22,9.10852801583898E-06,0,0,0,0,0,0,package://mini_pupper_description/meshes/lidar.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lidar.STL,,LD06-1,lidar,base_lidar,base_lidar,fixed,-0.0521000000000001,0,0.0784999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lf1,0.00519546289834071,0.00279246570724686,0.0063718183283844,0,0,0,0.0217986343698731,2.16792829512222E-06,-6.02508577918412E-09,5.90505149164062E-08,3.44088340998371E-06,-1.92270764243995E-08,3.1963969100223E-06,0,0,0,0,0,0,package://mini_pupper_description/meshes/lf1.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lf1.STL,,LeftFront_Leg_Assemble-1/Hip_Front_Left-1;LeftFront_Leg_Assemble-1/Rudder_Arm-4;LeftFront_Leg_Assemble-1/SCS0009-2;LeftFront_Leg_Assemble-1/SCS0009-1,lf1,base_lf1,base_lf1,revolute,0.06014,0.0235,0.0171,0,0,0,base_link,1,0,0,2,1.5,-3.14,3.14,,,,,,,,
lpf1,0.00874956145631699,-0.0057963784801828,-0.00450693686767675,0,0,0,0.00467472431295328,8.1813456986579E-07,8.78628279607434E-08,-3.80902489021625E-08,1.01534357250605E-06,7.21698179094722E-08,5.74768328209026E-07,0,0,0,0,0,0,package://mini_pupper_description/meshes/lpf1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lpf1.STL,,LeftFront_Leg_Assemble-1/Shell_Hip_Left-1,lpf1,lf1_plate,lf1_plate,fixed,0.0107600000007337,0.0306999999992666,0.0130000000001585,0,0,0,lf1,0,0,0,,,,,,,,,,,,
lf2,1.3988810110277E-14,-0.00101365780344401,-0.0182607957247316,0,0,0,0.00133270864966089,2.56149742521739E-07,8.35373111913384E-24,-9.77082381851893E-23,2.61721029733561E-07,1.5669129777113E-10,6.97328365560507E-09,0,0,0,0,0,0,package://mini_pupper_description/meshes/lf2.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lf2.STL,,LeftFront_Leg_Assemble-1/Leg_Arm_Upper-1;LeftFront_Leg_Assemble-1/Leg_Upper_2mm-1,lf2,lf1_lf2,lf1_lf2,revolute,-4E-05,0.0197,0,0,0,0,lf1,0,1,0,2,1.5,-3.14,3.14,,,,,,,,
lpf2,-0.00217866290818425,-0.001566384405815,0.034099120119674,0,0,0,0.00256421152729371,9.34196968596698E-07,5.95712897889122E-09,2.71831950266143E-08,1.03925284587874E-06,-2.35723407122805E-08,1.25155524458103E-07,0,0,0,0,0,0,package://mini_pupper_description/meshes/lpf2.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lpf2.STL,,LeftFront_Leg_Assemble-1/Shell_Leg_Upper-1,lpf2,lf2_plate,lf2_plate,fixed,0,0.00999999999998141,-0.0500000000003035,0,0,0,lf2,0,0,0,,,,,,,,,,,,
lf3,0.000237268946264135,-0.000198312911218489,-0.016535656084904,0,0,0,0.000785506974405866,3.17108530490043E-07,-8.19624096923979E-15,6.63472331942981E-09,3.19154628309319E-07,-1.49720639035527E-14,2.63315261030515E-09,0,0,0,0,0,0,package://mini_pupper_description/meshes/lf3.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lf3.STL,,LeftFront_Leg_Assemble-1/Leg_Lower_1.5mm-1;LeftFront_Leg_Assemble-1/M2_locknut-2;LeftFront_Leg_Assemble-1/ThrustBearing.2mm-2;LeftFront_Leg_Assemble-1/ThrustBearing.2mm-3;LeftFront_Leg_Assemble-1/hexa csunk raisedhd screw_iso-4,lf3,lf2_lf3,lf2_lf3,revolute,0,0.00475,-0.05,0,0,0,lf2,0,1,0,2,1.5,-3.14,3.14,,,,,,,,
lffoot,0.000424477269554246,-1.81550998540336E-09,0.000743181675761886,0,0,0,0.00125666639937702,3.88852646564769E-08,3.60583012427767E-14,-2.99983098577409E-09,5.81684749230997E-08,1.31966996419541E-14,2.7893076025217E-08,0,0,0,0,0,0,package://mini_pupper_description/meshes/lffoot.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/lffoot.STL,,LeftFront_Leg_Assemble-1/Foot-1,lffoot,lf3_foot,lf3_foot,fixed,0,-4.9999999999939E-05,-0.056,0,0,0,lf3,0,0,0,,,,,,,,,,,,
rf1,0.00519546371324378,-0.00279246587993302,0.00637181920913787,0,0,0,0.0217986358734984,2.16792855298178E-06,6.02507996345136E-09,5.90497387290611E-08,3.44088387908968E-06,1.9227066292514E-08,3.19639712715432E-06,0,0,0,0,0,0,package://mini_pupper_description/meshes/rf1.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/rf1.STL,,RightFront_Leg_Assemble-1/Hip_Front_Right-1;RightFront_Leg_Assemble-1/Rudder_Arm-4;RightFront_Leg_Assemble-1/SCS0009-2;RightFront_Leg_Assemble-1/SCS0009-1,rf1,base_rf1,base_rf1,revolute,0.06014,-0.0235,0.0171,0,0,0,base_link,1,0,0,2,1.5,-3.14,3.14,,,,,,,,
rpf1,0.00874955403415308,0.00579637837903884,-0.0045069339932012,0,0,0,0.00467472292683308,8.18135114571354E-07,-8.78629613826191E-08,-3.80902795457312E-08,1.01534342262631E-06,-7.21698953092889E-08,5.74767755618967E-07,0,0,0,0,0,0,package://mini_pupper_description/meshes/rpf1.STL,0.937254901960784,0.603921568627451,0,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/rpf1.STL,,RightFront_Leg_Assemble-1/Shell_Hip_Right-1,rpf1,rf1_plate,rf1_plate,fixed,0.0107599999999999,-0.0306999999999999,0.013,0,0,0,rf1,0,0,0,,,,,,,,,,,,
rf2,-9.71445146547012E-17,0.00101365780342547,-0.0182607957244276,0,0,0,0.00133270864966089,2.56149742521738E-07,8.12572657898901E-24,1.8668027519541E-22,2.6172102973356E-07,-1.56691297771191E-10,6.97328365560504E-09,0,0,0,0,0,0,package://mini_pupper_description/meshes/rf2.STL,1,1,1,1,0,0,0,0,0,0,package://mini_pupper_description/meshes/rf2.STL,,RightFront_Leg_Assemble-1/Leg_Arm_Upper-1;RightFront_Leg_Assemble-1/Leg_Upper_2mm-1,rf2,rf1_rf2,rf1_rf2,revolute,-4E-05,-0.0197,0,0,0,0,rf1,0,1,0,2,1.5,-3.14,3.14,,,,,,,,
